causa_def|base_code|cod_group
N939|N93|Residual causes
C750|C75|Residual causes
G312|G31|Residual causes
E105|E10|Diabetes
R11X|R11|Residual causes
R049|R04|Residual causes
B069|B06|Amenable to medical services
W640|W64|Residual causes
W764|W76|Residual causes
X208|X20|Residual causes
Y189|Y18|Residual causes
X338|X33|Residual causes
R072|R07|Residual causes
B770|B77|Residual causes
I479|I47|Residual causes
Q330|Q33|Residual causes
Q379|Q37|Residual causes
I899|I89|Residual causes
Q622|Q62|Residual causes
Q400|Q40|Residual causes
B012|B01|Residual causes
P001|P00|Amenable to medical services
K314|K31|Residual causes
P002|P00|Amenable to medical services
G800|G80|Residual causes
P015|P01|Amenable to medical services
G930|G93|Residual causes
P969|P96|Amenable to medical services
B421|B42|Residual causes
Y330|Y33|Residual causes
X834|X83|Residual causes
X830|X83|Residual causes
O269|O26|Amenable to medical services
Q772|Q77|Residual causes
I010|I01|Amenable to medical services
O021|O02|Amenable to medical services
N719|N71|Residual causes
G002|G00|Residual causes
O909|O90|Amenable to medical services
O043|O04|Amenable to medical services
P018|P01|Amenable to medical services
C58X|C58|Residual causes
Y192|Y19|Residual causes
P012|P01|Amenable to medical services
G510|G51|Residual causes
R048|R04|Residual causes
C188|C18|Amenable to medical services
N009|N00|Amenable to medical services
R070|R07|Residual causes
J82X|J82|Amenable to medical services
N411|N41|Residual causes
N10X|N10|Residual causes
O151|O15|Amenable to medical services
K904|K90|Residual causes
W743|W74|Residual causes
Q445|Q44|Residual causes
Q411|Q41|Residual causes
R040|R04|Residual causes
D569|D56|Residual causes
O345|O34|Amenable to medical services
M549|M54|Residual causes
R252|R25|Residual causes
O864|O86|Amenable to medical services
O076|O07|Amenable to medical services
A540|A54|Amenable to medical services
P030|P03|Amenable to medical services
J698|J69|Amenable to medical services
O861|O86|Amenable to medical services
R011|R01|Residual causes
W742|W74|Residual causes
W402|W40|Residual causes
C774|C77|Residual causes
Q859|Q85|Residual causes
D530|D53|Residual causes
Q369|Q36|Residual causes
K604|K60|Residual causes
R074|R07|Residual causes
K102|K10|Residual causes
J110|J11|Amenable to medical services
P081|P08|Amenable to medical services
N459|N45|Residual causes
C163|C16|Amenable to medical services
Q610|Q61|Residual causes
E049|E04|Amenable to medical services
G937|G93|Residual causes
C009|C00|Residual causes
G831|G83|Residual causes
W229|W22|Residual causes
P749|P74|Amenable to medical services
X509|X50|Residual causes
Q255|Q25|Amenable to medical services
P282|P28|Amenable to medical services
I958|I95|Residual causes
C792|C79|Residual causes
E713|E71|Residual causes
P920|P92|Amenable to medical services
O719|O71|Amenable to medical services
D420|D42|Residual causes
W310|W31|Residual causes
C698|C69|Amenable to medical services
K047|K04|Residual causes
C080|C08|Residual causes
C380|C38|Residual causes
C709|C70|Residual causes
X484|X48|Residual causes
X925|X92|Homicides
O722|O72|Amenable to medical services
V918|V91|Road traffic accidents
A520|A52|Amenable to medical services
R02X|R02|Residual causes
P070|P07|Amenable to medical services
O063|O06|Amenable to medical services
F329|F32|Residual causes
W846|W84|Residual causes
C712|C71|Residual causes
X913|X91|Homicides
W316|W31|Residual causes
O711|O71|Amenable to medical services
O438|O43|Amenable to medical services
J691|J69|Amenable to medical services
J350|J35|Residual causes
O95X|O95|Amenable to medical services
O750|O75|Amenable to medical services
J040|J04|Amenable to medical services
W558|W55|Residual causes
E752|E75|Residual causes
P788|P78|Amenable to medical services
C690|C69|Amenable to medical services
V729|V72|Road traffic accidents
P149|P14|Amenable to medical services
O754|O75|Amenable to medical services
I278|I27|Residual causes
C340|C34|Lung cancer
X349|X34|Residual causes
R229|R22|Residual causes
Y048|Y04|Homicides
K760|K76|Residual causes
C030|C03|Residual causes
I400|I40|Residual causes
K400|K40|Amenable to medical services
F500|F50|Residual causes
N323|N32|Residual causes
V291|V29|Road traffic accidents
O068|O06|Amenable to medical services
F83X|F83|Residual causes
W208|W20|Residual causes
X824|X82|Residual causes
P711|P71|Amenable to medical services
J152|J15|Amenable to medical services
Q268|Q26|Amenable to medical services
X844|X84|Residual causes
X364|X36|Residual causes
N709|N70|Residual causes
X746|X74|Residual causes
C772|C77|Residual causes
I051|I05|Amenable to medical services
V495|V49|Road traffic accidents
I351|I35|Residual causes
J370|J37|Residual causes
B908|B90|Amenable to medical services
E229|E22|Residual causes
J60X|J60|Amenable to medical services
D179|D17|Residual causes
W408|W40|Residual causes
Q224|Q22|Amenable to medical services
Q057|Q05|Residual causes
F110|F11|Residual causes
E125|E12|Diabetes
K270|K27|Amenable to medical services
L512|L51|Residual causes
W494|W49|Residual causes
Y129|Y12|Residual causes
B232|B23|Residual causes
P783|P78|Amenable to medical services
B479|B47|Residual causes
C437|C43|Amenable to medical services
N209|N20|Residual causes
A239|A23|Amenable to medical services
Y058|Y05|Homicides
C171|C17|Residual causes
G120|G12|Residual causes
Y040|Y04|Homicides
I221|I22|Ischemic Heart Diseases
P228|P22|Amenable to medical services
N832|N83|Residual causes
K908|K90|Residual causes
X699|X69|Residual causes
P581|P58|Amenable to medical services
F119|F11|Residual causes
D690|D69|Residual causes
D751|D75|Residual causes
P592|P59|Amenable to medical services
C827|C82|Residual causes
V849|V84|Road traffic accidents
P010|P01|Amenable to medical services
Y019|Y01|Homicides
W134|W13|Residual causes
V560|V56|Road traffic accidents
B332|B33|Residual causes
A420|A42|Residual causes
M792|M79|Residual causes
X760|X76|Residual causes
K832|K83|Residual causes
P921|P92|Amenable to medical services
J985|J98|Amenable to medical services
M729|M72|Residual causes
J672|J67|Amenable to medical services
O450|O45|Amenable to medical services
V819|V81|Road traffic accidents
I256|I25|Ischemic Heart Diseases
Y871|Y87|Residual causes
P298|P29|Amenable to medical services
D269|D26|Residual causes
K210|K21|Residual causes
W079|W07|Residual causes
O066|O06|Amenable to medical services
G64X|G64|Residual causes
W709|W70|Residual causes
Q412|Q41|Residual causes
W128|W12|Residual causes
X948|X94|Homicides
J151|J15|Amenable to medical services
C834|C83|Residual causes
Q079|Q07|Residual causes
I441|I44|Residual causes
F120|F12|Residual causes
K271|K27|Amenable to medical services
I253|I25|Ischemic Heart Diseases
W158|W15|Residual causes
Q954|Q95|Residual causes
I779|I77|Residual causes
C780|C78|Residual causes
V649|V64|Road traffic accidents
Q985|Q98|Residual causes
W678|W67|Residual causes
W234|W23|Residual causes
L511|L51|Residual causes
X814|X81|Residual causes
G062|G06|Residual causes
K638|K63|Residual causes
I312|I31|Residual causes
V436|V43|Road traffic accidents
V494|V49|Road traffic accidents
K389|K38|Amenable to medical services
B941|B94|Residual causes
K284|K28|Residual causes
Q319|Q31|Residual causes
C450|C45|Residual causes
C37X|C37|Residual causes
K440|K44|Amenable to medical services
W660|W66|Residual causes
Q619|Q61|Residual causes
Q429|Q42|Residual causes
V429|V42|Road traffic accidents
Q048|Q04|Residual causes
P003|P00|Amenable to medical services
P020|P02|Amenable to medical services
I871|I87|Residual causes
F200|F20|Residual causes
B399|B39|Residual causes
G373|G37|Residual causes
C179|C17|Residual causes
W794|W79|Residual causes
C842|C84|Residual causes
N280|N28|Residual causes
M611|M61|Residual causes
O222|O22|Amenable to medical services
D731|D73|Residual causes
Y000|Y00|Homicides
W804|W80|Residual causes
F489|F48|Residual causes
E012|E01|Amenable to medical services
P013|P01|Amenable to medical services
W800|W80|Residual causes
C511|C51|Residual causes
G402|G40|Amenable to medical services
Q189|Q18|Residual causes
F143|F14|Residual causes
X790|X79|Residual causes
X424|X42|Residual causes
W330|W33|Residual causes
C323|C32|Residual causes
Q388|Q38|Residual causes
Q878|Q87|Residual causes
D382|D38|Residual causes
X299|X29|Residual causes
C254|C25|Residual causes
J431|J43|Amenable to medical services
X649|X64|Residual causes
B589|B58|Residual causes
C914|C91|Amenable to medical services
B348|B34|Residual causes
N144|N14|Residual causes
Q214|Q21|Amenable to medical services
J679|J67|Amenable to medical services
W118|W11|Residual causes
B004|B00|Residual causes
I711|I71|Residual causes
I342|I34|Residual causes
C452|C45|Residual causes
G379|G37|Residual causes
J986|J98|Amenable to medical services
C257|C25|Residual causes
W108|W10|Residual causes
X219|X21|Residual causes
W104|W10|Residual causes
V98X|V98|Road traffic accidents
Y841|Y84|Amenable to medical services
Q225|Q22|Amenable to medical services
W154|W15|Residual causes
Y560|Y56|Residual causes
Q894|Q89|Residual causes
Q620|Q62|Residual causes
O992|O99|Amenable to medical services
J312|J31|Residual causes
O990|O99|Amenable to medical services
D445|D44|Residual causes
X956|X95|Homicides
I214|I21|Ischemic Heart Diseases
C413|C41|Residual causes
M051|M05|Residual causes
Q254|Q25|Amenable to medical services
G08X|G08|Residual causes
C227|C22|Residual causes
Q851|Q85|Residual causes
J931|J93|Amenable to medical services
W784|W78|Residual causes
W368|W36|Residual causes
G824|G82|Residual causes
I723|I72|Residual causes
I820|I82|Residual causes
M348|M34|Residual causes
G629|G62|Residual causes
I421|I42|Residual causes
Q769|Q76|Residual causes
X818|X81|Residual causes
G802|G80|Residual causes
E639|E63|Residual causes
E250|E25|Residual causes
P745|P74|Amenable to medical services
Y835|Y83|Amenable to medical services
Q206|Q20|Amenable to medical services
C770|C77|Residual causes
W070|W07|Residual causes
X648|X64|Residual causes
X110|X11|Residual causes
Y832|Y83|Amenable to medical services
N420|N42|Residual causes
C161|C16|Amenable to medical services
N811|N81|Residual causes
W176|W17|Residual causes
W496|W49|Residual causes
N019|N01|Amenable to medical services
W704|W70|Residual causes
I604|I60|Amenable to medical services
E124|E12|Diabetes
O731|O73|Amenable to medical services
Q230|Q23|Amenable to medical services
E835|E83|Residual causes
Y839|Y83|Amenable to medical services
Q398|Q39|Residual causes
Y272|Y27|Residual causes
G825|G82|Residual causes
Y836|Y83|Amenable to medical services
P200|P20|Amenable to medical services
I81X|I81|Residual causes
C435|C43|Amenable to medical services
E161|E16|Residual causes
C111|C11|Residual causes
W050|W05|Residual causes
W246|W24|Residual causes
M310|M31|Residual causes
K439|K43|Amenable to medical services
Q232|Q23|Amenable to medical services
I801|I80|Residual causes
Y451|Y45|Residual causes
D813|D81|Residual causes
Q320|Q32|Residual causes
E340|E34|Residual causes
B202|B20|Residual causes
D728|D72|Residual causes
D691|D69|Residual causes
C717|C71|Residual causes
W106|W10|Residual causes
W550|W55|Residual causes
X096|X09|Residual causes
Y170|Y17|Residual causes
W062|W06|Residual causes
X596|X59|Residual causes
A190|A19|Amenable to medical services
Q218|Q21|Amenable to medical services
F171|F17|Residual causes
O411|O41|Amenable to medical services
W186|W18|Residual causes
E703|E70|Residual causes
I447|I44|Residual causes
W148|W14|Residual causes
V475|V47|Road traffic accidents
M053|M05|Residual causes
W225|W22|Residual causes
A483|A48|Residual causes
M100|M10|Residual causes
Q892|Q89|Residual causes
D429|D42|Residual causes
P761|P76|Amenable to medical services
K661|K66|Residual causes
K718|K71|Residual causes
P231|P23|Amenable to medical services
I839|I83|Residual causes
J949|J94|Amenable to medical services
D134|D13|Residual causes
Q673|Q67|Residual causes
V181|V18|Road traffic accidents
P522|P52|Amenable to medical services
J208|J20|Amenable to medical services
P250|P25|Amenable to medical services
I868|I86|Residual causes
I459|I45|Residual causes
I603|I60|Amenable to medical services
W802|W80|Residual causes
Q211|Q21|Amenable to medical services
D848|D84|Residual causes
C901|C90|Residual causes
A187|A18|Amenable to medical services
D800|D80|Residual causes
B162|B16|Amenable to medical services
F29X|F29|Residual causes
I458|I45|Residual causes
X189|X18|Residual causes
C440|C44|Amenable to medical services
B948|B94|Residual causes
Y338|Y33|Residual causes
W102|W10|Residual causes
W265|W26|Residual causes
E853|E85|Residual causes
P546|P54|Amenable to medical services
X842|X84|Residual causes
G952|G95|Residual causes
C832|C83|Residual causes
C432|C43|Amenable to medical services
I602|I60|Amenable to medical services
N739|N73|Residual causes
X118|X11|Residual causes
W195|W19|Residual causes
D71X|D71|Residual causes
A178|A17|Amenable to medical services
W540|W54|Residual causes
Y459|Y45|Residual causes
P742|P74|Amenable to medical services
Y091|Y09|Homicides
X040|X04|Residual causes
G459|G45|Residual causes
W126|W12|Residual causes
X138|X13|Residual causes
Q262|Q26|Amenable to medical services
M109|M10|Residual causes
A414|A41|Amenable to medical services
I832|I83|Residual causes
Q221|Q22|Amenable to medical services
V019|V01|Road traffic accidents
W876|W87|Residual causes
D762|D76|Residual causes
G371|G37|Residual causes
X688|X68|Residual causes
Q046|Q04|Residual causes
P375|P37|Amenable to medical services
Q611|Q61|Residual causes
G410|G41|Amenable to medical services
Q052|Q05|Residual causes
F322|F32|Residual causes
G300|G30|Residual causes
J851|J85|Amenable to medical services
G603|G60|Residual causes
A179|A17|Amenable to medical services
B219|B21|Residual causes
G903|G90|Residual causes
J688|J68|Amenable to medical services
Y280|Y28|Residual causes
E113|E11|Diabetes
M609|M60|Residual causes
D27X|D27|Residual causes
X741|X74|Residual causes
D386|D38|Residual causes
C252|C25|Residual causes
Q010|Q01|Residual causes
N509|N50|Residual causes
N492|N49|Residual causes
M169|M16|Residual causes
K226|K22|Residual causes
C472|C47|Residual causes
Y606|Y60|Amenable to medical services
I228|I22|Ischemic Heart Diseases
C473|C47|Residual causes
C700|C70|Residual causes
J392|J39|Amenable to medical services
X808|X80|Residual causes
Y792|Y79|Residual causes
W136|W13|Residual causes
Q038|Q03|Residual causes
Q278|Q27|Amenable to medical services
C211|C21|Amenable to medical services
D443|D44|Residual causes
X048|X04|Residual causes
G522|G52|Residual causes
C711|C71|Residual causes
Y260|Y26|Residual causes
O223|O22|Amenable to medical services
I879|I87|Residual causes
W172|W17|Residual causes
C961|C96|Residual causes
C301|C30|Residual causes
K860|K86|Residual causes
D380|D38|Residual causes
E274|E27|Residual causes
K410|K41|Amenable to medical services
J390|J39|Amenable to medical services
Y268|Y26|Residual causes
Y312|Y31|Residual causes
P270|P27|Amenable to medical services
Y849|Y84|Amenable to medical services
Q401|Q40|Residual causes
H701|H70|Residual causes
P743|P74|Amenable to medical services
Q436|Q43|Residual causes
X589|X58|Residual causes
Y195|Y19|Residual causes
I621|I62|Amenable to medical services
D434|D43|Residual causes
Q791|Q79|Residual causes
N202|N20|Residual causes
W032|W03|Residual causes
Q233|Q23|Amenable to medical services
W196|W19|Residual causes
Q228|Q22|Amenable to medical services
D611|D61|Residual causes
Y342|Y34|Residual causes
Y343|Y34|Residual causes
J930|J93|Amenable to medical services
D214|D21|Residual causes
K818|K81|Amenable to medical services
G711|G71|Residual causes
I611|I61|Amenable to medical services
W449|W44|Residual causes
I455|I45|Residual causes
O989|O98|Amenable to medical services
I675|I67|Amenable to medical services
G709|G70|Residual causes
B379|B37|Residual causes
I352|I35|Residual causes
A411|A41|Amenable to medical services
Y609|Y60|Amenable to medical services
Q244|Q24|Amenable to medical services
Y520|Y52|Residual causes
L129|L12|Residual causes
Y182|Y18|Residual causes
N72X|N72|Residual causes
I079|I07|Amenable to medical services
W183|W18|Residual causes
X826|X82|Residual causes
C923|C92|Amenable to medical services
M500|M50|Residual causes
V029|V02|Road traffic accidents
F019|F01|Residual causes
X366|X36|Residual causes
D369|D36|Residual causes
P360|P36|Amenable to medical services
I052|I05|Amenable to medical services
V293|V29|Road traffic accidents
X825|X82|Residual causes
V590|V59|Road traffic accidents
O244|O24|Amenable to medical services
Q201|Q20|Amenable to medical services
Y212|Y21|Residual causes
I673|I67|Amenable to medical services
W197|W19|Residual causes
C957|C95|Amenable to medical services
C434|C43|Amenable to medical services
B211|B21|Residual causes
E854|E85|Residual causes
Y346|Y34|Residual causes
D210|D21|Residual causes
Q628|Q62|Residual causes
V182|V18|Road traffic accidents
D595|D59|Residual causes
W115|W11|Residual causes
D462|D46|Residual causes
E220|E22|Residual causes
M889|M88|Residual causes
P748|P74|Amenable to medical services
Q222|Q22|Amenable to medical services
K630|K63|Residual causes
I011|I01|Amenable to medical services
G628|G62|Residual causes
D090|D09|Residual causes
Y608|Y60|Amenable to medical services
W016|W01|Residual causes
B451|B45|Residual causes
Q333|Q33|Residual causes
J120|J12|Amenable to medical services
N489|N48|Residual causes
Q318|Q31|Residual causes
I082|I08|Amenable to medical services
C496|C49|Residual causes
N328|N32|Residual causes
G241|G24|Residual causes
N482|N48|Residual causes
K660|K66|Residual causes
Q649|Q64|Residual causes
D485|D48|Residual causes
F448|F44|Residual causes
X015|X01|Residual causes
C12X|C12|Residual causes
X742|X74|Residual causes
X591|X59|Residual causes
B572|B57|Residual causes
Y345|Y34|Residual causes
B449|B44|Residual causes
C844|C84|Residual causes
I724|I72|Residual causes
I061|I06|Amenable to medical services
I348|I34|Residual causes
X996|X99|Homicides
D110|D11|Residual causes
X469|X46|Residual causes
N319|N31|Residual causes
W390|W39|Residual causes
Y288|Y28|Residual causes
J150|J15|Amenable to medical services
N499|N49|Residual causes
D141|D14|Residual causes
D131|D13|Residual causes
D143|D14|Residual causes
K754|K75|Residual causes
A068|A06|Amenable to medical services
W785|W78|Residual causes
Q789|Q78|Residual causes
Q392|Q39|Residual causes
F430|F43|Residual causes
A279|A27|Residual causes
C050|C05|Residual causes
Q245|Q24|Amenable to medical services
O340|O34|Amenable to medical services
O364|O36|Amenable to medical services
C812|C81|Amenable to medical services
D484|D48|Residual causes
D820|D82|Residual causes
D477|D47|Residual causes
D758|D75|Residual causes
C549|C54|Residual causes
V199|V19|Road traffic accidents
C796|C79|Residual causes
W119|W11|Residual causes
W385|W38|Residual causes
X912|X91|Homicides
Y262|Y26|Residual causes
O860|O86|Amenable to medical services
B588|B58|Residual causes
K764|K76|Residual causes
Q934|Q93|Residual causes
Y300|Y30|Residual causes
X828|X82|Residual causes
V050|V05|Road traffic accidents
Y178|Y17|Residual causes
M462|M46|Residual causes
D400|D40|Residual causes
P833|P83|Amenable to medical services
W579|W57|Residual causes
Q265|Q26|Amenable to medical services
X848|X84|Residual causes
W356|W35|Residual causes
W175|W17|Residual causes
K558|K55|Residual causes
C182|C18|Amenable to medical services
Y529|Y52|Residual causes
J386|J38|Residual causes
I848|I84|Residual causes
C470|C47|Residual causes
G960|G96|Residual causes
D643|D64|Residual causes
P528|P52|Amenable to medical services
N135|N13|Residual causes
C838|C83|Residual causes
O341|O34|Amenable to medical services
P279|P27|Amenable to medical services
P545|P54|Amenable to medical services
N170|N17|Amenable to medical services
P238|P23|Amenable to medical services
Q969|Q96|Residual causes
D801|D80|Residual causes
D070|D07|Residual causes
I716|I71|Residual causes
N858|N85|Residual causes
X995|X99|Homicides
K710|K71|Residual causes
I780|I78|Residual causes
O908|O90|Amenable to medical services
D160|D16|Residual causes
D137|D13|Residual causes
G111|G11|Residual causes
X020|X02|Residual causes
K050|K05|Residual causes
P008|P00|Amenable to medical services
X135|X13|Residual causes
C670|C67|Amenable to medical services
N768|N76|Residual causes
E710|E71|Residual causes
W092|W09|Residual causes
E248|E24|Residual causes
Y041|Y04|Homicides
W248|W24|Residual causes
V484|V48|Road traffic accidents
N508|N50|Residual causes
G238|G23|Residual causes
M350|M35|Residual causes
D570|D57|Residual causes
O429|O42|Amenable to medical services
A063|A06|Amenable to medical services
D823|D82|Residual causes
P612|P61|Amenable to medical services
Y201|Y20|Residual causes
F739|F73|Residual causes
C841|C84|Residual causes
B007|B00|Residual causes
I715|I71|Residual causes
Q606|Q60|Residual causes
P294|P29|Amenable to medical services
A410|A41|Amenable to medical services
Q238|Q23|Amenable to medical services
N421|N42|Residual causes
I018|I01|Amenable to medical services
D463|D46|Residual causes
G911|G91|Residual causes
D610|D61|Residual causes
D107|D10|Residual causes
Q253|Q25|Amenable to medical services
V781|V78|Road traffic accidents
W135|W13|Residual causes
V069|V06|Road traffic accidents
Y095|Y09|Homicides
W786|W78|Residual causes
C436|C43|Amenable to medical services
C001|C00|Residual causes
A167|A16|Amenable to medical services
G724|G72|Residual causes
Y513|Y51|Residual causes
P520|P52|Amenable to medical services
D869|D86|Residual causes
B878|B87|Residual causes
C184|C18|Amenable to medical services
K928|K92|Residual causes
K625|K62|Residual causes
F332|F33|Residual causes
P610|P61|Amenable to medical services
X112|X11|Residual causes
X593|X59|Residual causes
V796|V79|Road traffic accidents
Q311|Q31|Residual causes
E701|E70|Residual causes
B023|B02|Residual causes
W358|W35|Residual causes
V795|V79|Road traffic accidents
W544|W54|Residual causes
W787|W78|Residual causes
Y142|Y14|Residual causes
R680|R68|Residual causes
Q202|Q20|Amenable to medical services
B333|B33|Residual causes
E272|E27|Residual causes
N321|N32|Residual causes
E802|E80|Residual causes
F319|F31|Residual causes
R579|R57|Residual causes
P912|P91|Amenable to medical services
N368|N36|Residual causes
J050|J05|Amenable to medical services
C915|C91|Amenable to medical services
O679|O67|Amenable to medical services
K298|K29|Residual causes
Y834|Y83|Amenable to medical services
A185|A18|Amenable to medical services
A270|A27|Residual causes
C810|C81|Amenable to medical services
D482|D48|Residual causes
W498|W49|Residual causes
X129|X12|Residual causes
V011|V01|Road traffic accidents
Q338|Q33|Residual causes
X815|X81|Residual causes
Q647|Q64|Residual causes
O020|O02|Amenable to medical services
Y848|Y84|Amenable to medical services
K808|K80|Amenable to medical services
C446|C44|Amenable to medical services
Q340|Q34|Residual causes
C224|C22|Residual causes
K289|K28|Residual causes
C438|C43|Amenable to medical services
N324|N32|Residual causes
D152|D15|Residual causes
I712|I71|Residual causes
W768|W76|Residual causes
X838|X83|Residual causes
I470|I47|Residual causes
D385|D38|Residual causes
M300|M30|Residual causes
N938|N93|Residual causes
E213|E21|Residual causes
D699|D69|Residual causes
C181|C18|Amenable to medical services
M432|M43|Residual causes
C448|C44|Amenable to medical services
G378|G37|Residual causes
A403|A40|Amenable to medical services
J168|J16|Amenable to medical services
Q430|Q43|Residual causes
C691|C69|Amenable to medical services
H602|H60|Residual causes
L270|L27|Residual causes
K633|K63|Residual causes
G451|G45|Residual causes
V972|V97|Road traffic accidents
X972|X97|Homicides
X474|X47|Residual causes
X978|X97|Homicides
W150|W15|Residual causes
V445|V44|Road traffic accidents
X095|X09|Residual causes
W235|W23|Residual causes
P551|P55|Amenable to medical services
W010|W01|Residual causes
C490|C49|Residual causes
O60X|O60|Amenable to medical services
Q226|Q22|Amenable to medical services
W734|W73|Residual causes
Q890|Q89|Residual causes
X979|X97|Homicides
B949|B94|Residual causes
E671|E67|Residual causes
N258|N25|Amenable to medical services
B028|B02|Residual causes
K821|K82|Residual causes
E761|E76|Residual causes
D891|D89|Residual causes
E873|E87|Residual causes
J853|J85|Amenable to medical services
D303|D30|Residual causes
V184|V18|Road traffic accidents
W205|W20|Residual causes
V595|V59|Road traffic accidents
X975|X97|Homicides
I864|I86|Residual causes
B170|B17|Amenable to medical services
Q443|Q44|Residual causes
Y014|Y01|Homicides
X714|X71|Residual causes
B408|B40|Residual causes
M320|M32|Residual causes
W098|W09|Residual causes
Y341|Y34|Residual causes
M899|M89|Residual causes
G412|G41|Amenable to medical services
N758|N75|Residual causes
D447|D44|Residual causes
J638|J63|Amenable to medical services
D739|D73|Residual causes
K140|K14|Residual causes
D379|D37|Residual causes
P035|P03|Amenable to medical services
E763|E76|Residual causes
N052|N05|Amenable to medical services
C960|C96|Residual causes
N211|N21|Residual causes
O100|O10|Amenable to medical services
K629|K62|Residual causes
C850|C85|Residual causes
E751|E75|Residual causes
Q638|Q63|Residual causes
P526|P52|Amenable to medical services
Y243|Y24|Residual causes
X800|X80|Residual causes
O019|O01|Amenable to medical services
K263|K26|Amenable to medical services
D472|D47|Residual causes
Q631|Q63|Residual causes
I676|I67|Amenable to medical services
N055|N05|Amenable to medical services
I425|I42|Residual causes
E841|E84|Residual causes
X976|X97|Homicides
W068|W06|Residual causes
D738|D73|Residual causes
Q321|Q32|Residual causes
E831|E83|Residual causes
Q258|Q25|Amenable to medical services
E888|E88|Residual causes
K388|K38|Amenable to medical services
N038|N03|Amenable to medical services
I070|I07|Amenable to medical services
M501|M50|Residual causes
N821|N82|Residual causes
C680|C68|Residual causes
K285|K28|Residual causes
A491|A49|Residual causes
K730|K73|Residual causes
G621|G62|Residual causes
C788|C78|Residual causes
X085|X08|Residual causes
X229|X22|Residual causes
R55X|R55|Residual causes
F449|F44|Residual causes
Y169|Y16|Residual causes
Q446|Q44|Residual causes
F55X|F55|Residual causes
X080|X08|Residual causes
X239|X23|Residual causes
G318|G31|Residual causes
G521|G52|Residual causes
W238|W23|Residual causes
F208|F20|Residual causes
X224|X22|Residual causes
Q600|Q60|Residual causes
C401|C40|Residual causes
N841|N84|Residual causes
Y199|Y19|Residual causes
P810|P81|Amenable to medical services
K563|K56|Residual causes
V869|V86|Road traffic accidents
W839|W83|Residual causes
M189|M18|Residual causes
X119|X11|Residual causes
A858|A85|Residual causes
D419|D41|Residual causes
O13X|O13|Amenable to medical services
N210|N21|Residual causes
I772|I77|Residual causes
J399|J39|Amenable to medical services
X169|X16|Residual causes
P768|P76|Amenable to medical services
D892|D89|Residual causes
J020|J02|Amenable to medical services
P928|P92|Amenable to medical services
X460|X46|Residual causes
A014|A01|Amenable to medical services
E550|E55|Residual causes
I078|I07|Amenable to medical services
V804|V80|Road traffic accidents
B022|B02|Residual causes
X410|X41|Residual causes
X237|X23|Residual causes
G618|G61|Residual causes
Q219|Q21|Amenable to medical services
C696|C69|Amenable to medical services
X784|X78|Residual causes
E242|E24|Residual causes
M130|M13|Residual causes
X124|X12|Residual causes
W852|W85|Residual causes
V816|V81|Road traffic accidents
P034|P03|Amenable to medical services
Q051|Q05|Residual causes
O469|O46|Amenable to medical services
X014|X01|Residual causes
V840|V84|Road traffic accidents
B92X|B92|Residual causes
W850|W85|Residual causes
X136|X13|Residual causes
M479|M47|Residual causes
J322|J32|Residual causes
I728|I72|Residual causes
Y528|Y52|Residual causes
V645|V64|Road traffic accidents
C168|C16|Amenable to medical services
W309|W30|Residual causes
X459|X45|Residual causes
Y154|Y15|Residual causes
E762|E76|Residual causes
I060|I06|Amenable to medical services
V585|V58|Road traffic accidents
X334|X33|Residual causes
W040|W04|Residual causes
W779|W77|Residual causes
N054|N05|Amenable to medical services
O241|O24|Amenable to medical services
Y224|Y22|Residual causes
D169|D16|Residual causes
A184|A18|Amenable to medical services
V958|V95|Road traffic accidents
O753|O75|Amenable to medical services
V805|V80|Road traffic accidents
P392|P39|Amenable to medical services
P519|P51|Amenable to medical services
P234|P23|Amenable to medical services
V179|V17|Road traffic accidents
C694|C69|Amenable to medical services
H708|H70|Residual causes
V132|V13|Road traffic accidents
W112|W11|Residual causes
W142|W14|Residual causes
Q794|Q79|Residual causes
P252|P25|Amenable to medical services
D593|D59|Residual causes
D538|D53|Residual causes
W674|W67|Residual causes
V061|V06|Road traffic accidents
E729|E72|Residual causes
Q273|Q27|Amenable to medical services
W249|W24|Residual causes
G723|G72|Residual causes
A798|A79|Residual causes
E830|E83|Residual causes
W650|W65|Residual causes
W059|W05|Residual causes
P919|P91|Amenable to medical services
Q309|Q30|Residual causes
B375|B37|Residual causes
X620|X62|Residual causes
E041|E04|Amenable to medical services
M341|M34|Residual causes
V174|V17|Road traffic accidents
V195|V19|Road traffic accidents
Q532|Q53|Residual causes
A029|A02|Amenable to medical services
A46X|A46|Residual causes
X719|X71|Residual causes
V639|V63|Road traffic accidents
M330|M33|Residual causes
F799|F79|Residual causes
X993|X99|Homicides
Y220|Y22|Residual causes
M308|M30|Residual causes
V490|V49|Road traffic accidents
W659|W65|Residual causes
P964|P96|Amenable to medical services
O879|O87|Amenable to medical services
Q259|Q25|Amenable to medical services
G210|G21|Residual causes
W099|W09|Residual causes
Q559|Q55|Residual causes
D407|D40|Residual causes
P362|P36|Amenable to medical services
E782|E78|Residual causes
D397|D39|Residual causes
C433|C43|Amenable to medical services
V696|V69|Road traffic accidents
D609|D60|Residual causes
D580|D58|Residual causes
X738|X73|Residual causes
L989|L98|Residual causes
Y294|Y29|Residual causes
B331|B33|Residual causes
N142|N14|Residual causes
M941|M94|Residual causes
V292|V29|Road traffic accidents
A509|A50|Amenable to medical services
F146|F14|Residual causes
W440|W44|Residual causes
